Source;Target;Weight
4;56;0.525556
4;57;0.701639
4;58;0.147166
4;59;0.337731
4;60;0.561437
4;61;0.754032
4;62;0.911636
4;63;0.444196
4;64;0.098035
4;65;0.101871
4;66;0.151003
4;67;0.372039
4;68;0.885876
4;69;0.871165
4;70;0.498878
4;71;0.129284
4;72;0.608586
4;73;0.017541
4;74;0.337885
4;75;0.565085
4;76;0.394293
4;77;0.465257
4;78;0.310020
4;79;0.771117
4;80;0.179216
4;81;0.172237
5;0;0.297794
5;1;0.399127
5;2;0.457309
5;3;0.362257
5;4;0.309706
5;5;0.000000
5;6;0.688532
5;7;0.932919
5;8;0.159613
5;9;0.869826
5;10;0.241314
5;11;0.880744
5;12;0.266564
5;13;0.554545
5;14;0.952384
5;15;0.481557
5;16;0.720667
5;17;0.312319
5;18;0.991693
5;19;0.888282
5;20;0.215892
5;21;0.705941
5;22;0.884190
5;23;0.662701
5;24;0.460979
5;25;0.409046
5;26;0.516792
5;27;0.470121
5;28;0.891963
5;29;0.917610
5;30;0.739656
5;31;0.608349
5;32;0.332987
5;33;0.250526
5;34;0.694303
5;35;0.910449
5;36;0.990509
5;37;0.990835
5;38;0.436103
5;39;0.405867
5;40;0.933113
5;41;0.865662
5;42;0.452901
5;43;0.964440
5;44;0.627700
5;45;0.569253
5;46;0.784855
5;47;0.516477
5;48;0.956047
5;49;0.907942
5;50;0.453868
5;51;0.987685
5;52;0.426486
5;53;0.683593
5;54;0.489790
5;55;0.486168
5;56;0.315829
5;57;0.697730
5;58;0.524917
5;59;0.243860
5;60;0.402260
5;61;0.710182
5;62;0.972294
5;63;0.215012
5;64;0.401954
5;65;0.436269
5;66;0.200554
5;67;0.507627
5;68;0.925497
5;69;0.795509
5;70;0.271518
5;71;0.444711
5;72;0.668922
5;73;0.299658
5;74;0.635020
5;75;0.318616
5;76;0.605292
5;77;0.585400
5;78;0.302718
5;79;0.699398
5;80;0.495312
5;81;0.571156
6;0;0.503591
6;1;0.189324
6;2;0.294557
6;3;0.503658
6;4;0.150823
6;5;0.688532
6;6;0.000000
6;7;0.941697
6;8;0.698765
6;9;0.906004
6;10;0.593519
6;11;0.908990
6;12;0.825137
6;13;0.612334
6;14;0.961642
6;15;0.591102
6;16;0.818337
6;17;0.424847
6;18;0.995100
6;19;0.964082
6;20;0.559111
6;21;0.383060
6;22;0.925292
6;23;0.020386
6;24;0.788880
6;25;0.533036
6;26;0.252514
6;27;0.388636
6;28;0.971569
6;29;0.990675
6;30;0.191010
6;31;0.053792
6;32;0.341386
6;33;0.248634
6;34;0.692434
6;35;0.956549
6;36;0.982890
6;37;0.992640
6;38;0.176210
6;39;0.537698
6;40;0.960834
6;41;0.805132
6;42;0.720248
6;43;0.916306
6;44;0.332413
6;45;0.707147
6;46;0.615019
6;47;0.142866
6;48;0.964290
6;49;0.964756
6;50;0.559535
6;51;0.966685
6;52;0.185057
6;53;0.609136
6;54;0.225765
6;55;0.439612
6;56;0.814092
6;57;0.622343
6;58;0.163485
6;59;0.535267
6;60;0.783023
6;61;0.732984
6;62;0.903252
6;63;0.722508
6;64;0.192020
6;65;0.129895
6;66;0.382521
6;67;0.468986
6;68;0.902548
6;69;0.864285
6;70;0.785168
6;71;0.272552
6;72;0.688068
6;73;0.182842
6;74;0.289945
6;75;0.801071
6;76;0.294031
6;77;0.597991
6;78;0.534061
6;79;0.673930
6;80;0.170221
6;81;0.228061
7;0;0.981283
7;1;0.949663
7;2;0.943361
7;3;0.967753
7;4;0.919570
7;5;0.932919
7;6;0.941697
7;7;0.000000
7;8;0.976511
7;9;0.028371
7;10;0.954193
7;11;0.032586
7;12;0.898518
7;13;0.985511
7;14;0.142229
7;15;0.986312
7;16;0.991092
7;17;0.902888
7;18;1.000000
7;19;0.170197
7;20;0.976128
7;21;0.969217
7;22;0.037289
7;23;0.933804
7;24;0.992235
7;25;0.895780
7;26;0.867874
7;27;0.915241
7;28;0.168541
7;29;0.016691
7;30;0.992090
7;31;0.945384
7;32;0.991120
7;33;0.901821
7;34;0.962936
7;35;0.021601
7;36;0.142512
7;37;0.104963
7;38;0.893970
7;39;0.975493
7;40;0.159034
7;41;0.968880
7;42;0.931279
7;43;0.123695
7;44;0.974592
7;45;0.945490
7;46;0.991731
7;47;0.889568
7;48;0.997441
7;49;0.026081
7;50;0.952630
