class labels,features,ngrams,num_comp,classifier,measure,value
google,tfidf,all,100,AdaBoost,Fscore,0.427053052
google,tfidf,all,100,AdaBoost,Precision,0.4156766487
google,tfidf,all,100,AdaBoost,Recall,0.4841269841
google,tfidf,all,100,AdaBoost,Score,0.4841269841
google,tfidf,all,100,Decision Tree,Fscore,0.3505091153
google,tfidf,all,100,Decision Tree,Precision,0.3702026265
google,tfidf,all,100,Decision Tree,Recall,0.3571428571
google,tfidf,all,100,Decision Tree,Score,0.3571428571
google,tfidf,all,100,Dummy,Fscore,0.3511177595
google,tfidf,all,100,Dummy,Precision,0.2661249685
google,tfidf,all,100,Dummy,Recall,0.5158730159
google,tfidf,all,100,Dummy,Score,0.5158730159
google,tfidf,all,100,Linear SVM,Fscore,0.3242169595
google,tfidf,all,100,Linear SVM,Precision,0.2890489529
google,tfidf,all,100,Linear SVM,Recall,0.4047619048
google,tfidf,all,100,Linear SVM,Score,0.4047619048
google,tfidf,all,100,Logistic Regression,Fscore,0.3419331564
google,tfidf,all,100,Logistic Regression,Precision,0.3300859045
google,tfidf,all,100,Logistic Regression,Recall,0.380952381
google,tfidf,all,100,Logistic Regression,Score,0.380952381
google,tfidf,all,100,Naive Bayes,Fscore,0.2052228757
google,tfidf,all,100,Naive Bayes,Precision,0.3248095129
google,tfidf,all,100,Naive Bayes,Recall,0.1666666667
google,tfidf,all,100,Naive Bayes,Score,0.1666666667
google,tfidf,all,100,Nearest Neighbors,Fscore,0.3912270857
google,tfidf,all,100,Nearest Neighbors,Precision,0.3703042328
google,tfidf,all,100,Nearest Neighbors,Recall,0.4682539683
google,tfidf,all,100,Nearest Neighbors,Score,0.4682539683
google,tfidf,all,100,Neural Net,Fscore,0.3889008392
google,tfidf,all,100,Neural Net,Precision,0.3581208973
google,tfidf,all,100,Neural Net,Recall,0.4365079365
google,tfidf,all,100,Neural Net,Score,0.4365079365
google,tfidf,all,100,RBF SVM,Fscore,0.3511177595
google,tfidf,all,100,RBF SVM,Precision,0.2661249685
google,tfidf,all,100,RBF SVM,Recall,0.5158730159
google,tfidf,all,100,RBF SVM,Score,0.5158730159
google,tfidf,all,100,Random Forest,Fscore,0.3439153439
google,tfidf,all,100,Random Forest,Precision,0.2620967742
google,tfidf,all,100,Random Forest,Recall,0.5
google,tfidf,all,100,Random Forest,Score,0.5
google,tfidf,all,200,AdaBoost,Fscore,0.3560408452
google,tfidf,all,200,AdaBoost,Precision,0.3345802748
google,tfidf,all,200,AdaBoost,Recall,0.4047619048
google,tfidf,all,200,AdaBoost,Score,0.4047619048
google,tfidf,all,200,Decision Tree,Fscore,0.3590070076
google,tfidf,all,200,Decision Tree,Precision,0.374572051
google,tfidf,all,200,Decision Tree,Recall,0.4285714286
google,tfidf,all,200,Decision Tree,Score,0.4285714286
google,tfidf,all,200,Dummy,Fscore,0.3511177595
google,tfidf,all,200,Dummy,Precision,0.2661249685
google,tfidf,all,200,Dummy,Recall,0.5158730159
