class labels,features,ngrams,num_comp,classifier,measure,value
google,justc,bi,all,Linear SVM,Precision,0.2267573696
google,numoc,tri,all,Random Forest,Fscore,0.3072196621
google,tfidf,bi,400,Nearest Neighbors,Precision,0.3801203277
my,tfidf,bi,100,Logistic Regression,Fscore,0.4418482893
my,tfidf,uni,10,AdaBoost,Score,0.3492063492
my,tfidf,bi,100,Nearest Neighbors,Precision,0.4067797799
my,tfidf,tri,10,Decision Tree,Recall,0.3968253968
google,tfidf,tri,100,Logistic Regression,Fscore,0.4022760268
my,tfidf,bi,300,Dummy,Recall,0.0476190476
my,justc,tri,all,Decision Tree,Score,0.2698412698
google,tfidf,quad,400,Linear SVM,Precision,0.4279460338
my,tfidf,tri,100,RBF SVM,Recall,0.2222222222
my,tfidf,all,400,Naive Bayes,Fscore,0.1028732168
my,tfidf,quad,400,Decision Tree,Fscore,0.2495445877
google,tfidf,bi,100,Random Forest,Fscore,0.3529657477
google,tfidf,tri,200,Nearest Neighbors,Score,0.4761904762
google,tfidf,all,10,Decision Tree,Recall,0.3968253968
my,tfidf,uni,200,Random Forest,Fscore,0.2586597858
my,tfidf,tri,100,Linear SVM,Recall,0.4444444444
google,justc,bi,all,RBF SVM,Fscore,0.3072196621
my,tfidf,bi,200,Nearest Neighbors,Score,0.3333333333
my,tfidf,all,300,Dummy,Precision,0.0022675737
my,tfidf,quad,400,Random Forest,Fscore,0.2011258767
my,tfidf,tri,400,AdaBoost,Score,0.3650793651
google,tfidf,tri,100,AdaBoost,Score,0.4206349206
google,tfidf,quad,400,Logistic Regression,Score,0.4444444444
my,tfidf,bi,400,Dummy,Recall,0.0476190476
my,tfidf,bi,10,Neural Net,Recall,0.380952381
my,justc,uni,all,Decision Tree,Score,0.3650793651
my,tfidf,tri,300,Naive Bayes,Precision,0.4419256955
my,tfidf,quad,10,Dummy,Recall,0.0476190476
my,tfidf,uni,400,Random Forest,Score,0.3095238095
my,tfidf,all,400,Linear SVM,Fscore,0.4570591274
google,tfidf,all,300,RBF SVM,Precision,0.2661249685
my,tfidf,all,300,Naive Bayes,Precision,0.3218398401
google,numoc,uni,all,AdaBoost,Precision,0.3138990639
my,numoc,uni,all,Dummy,Recall,0.0317460317
google,tfidf,quad,400,Logistic Regression,Fscore,0.4207266783
google,tfidf,uni,300,Decision Tree,Fscore,0.3924673583
google,numoc,uni,all,Dummy,Score,0.4761904762
google,tfidf,tri,100,Neural Net,Fscore,0.3722168957
my,tfidf,tri,100,Logistic Regression,Score,0.4285714286
google,numoc,uni,all,Nearest Neighbors,Recall,0.3571428571
google,tfidf,uni,100,Linear SVM,Precision,0.3625283447
